model_name,event_id,alarm_token_index,onset_token_index,lead_time_tokens,detected
qwen2.5-coder:7b,qwen2.5-coder:7b_p000,,,0,False
qwen2.5-coder:7b,qwen2.5-coder:7b_p001,-43,3,46,True
qwen2.5-coder:7b,qwen2.5-coder:7b_p002,-23,9,32,True
qwen2.5-coder:7b,qwen2.5-coder:7b_p003,-21,5,26,True
qwen2.5-coder:7b,qwen2.5-coder:7b_p004,4,4,0,True
qwen2.5-coder:7b,qwen2.5-coder:7b_p005,6,6,0,True
qwen2.5-coder:7b,qwen2.5-coder:7b_p006,4,4,0,True
qwen2.5-coder:7b,qwen2.5-coder:7b_p007,-9,3,12,True
qwen2.5-coder:7b,qwen2.5-coder:7b_p008,-8,4,12,True
qwen2.5-coder:7b,qwen2.5-coder:7b_p009,-22,9,31,True
qwen2.5-coder:7b,qwen2.5-coder:7b_p010,-40,2,42,True
qwen2.5-coder:7b,qwen2.5-coder:7b_p011,-14,6,20,True
qwen2.5-coder:7b,qwen2.5-coder:7b_p012,5,5,0,True
qwen2.5-coder:7b,qwen2.5-coder:7b_p013,-3,5,8,True
qwen2.5-coder:7b,qwen2.5-coder:7b_p014,-20,5,25,True
qwen2.5-coder:7b,qwen2.5-coder:7b_p015,-32,7,39,True
qwen2.5-coder:7b,qwen2.5-coder:7b_p016,-8,5,13,True
qwen2.5-coder:7b,qwen2.5-coder:7b_p017,4,7,3,True
qwen2.5-coder:7b,qwen2.5-coder:7b_p018,-11,4,15,True
qwen2.5-coder:7b,qwen2.5-coder:7b_p019,-30,2,32,True
qwen2.5-coder:7b,qwen2.5-coder:7b_p020,5,8,3,True
qwen2.5-coder:7b,qwen2.5-coder:7b_p021,-26,5,31,True
qwen2.5-coder:7b,qwen2.5-coder:7b_p022,-19,14,33,True
qwen2.5-coder:7b,qwen2.5-coder:7b_p023,7,7,0,True
qwen2.5-coder:7b,qwen2.5-coder:7b_p024,-1,6,7,True
qwen2.5-coder:7b,qwen2.5-coder:7b_p025,-8,5,13,True
qwen2.5-coder:7b,qwen2.5-coder:7b_p026,-49,4,53,True
qwen2.5-coder:7b,qwen2.5-coder:7b_p027,-1,3,4,True
qwen2.5-coder:7b,qwen2.5-coder:7b_p028,0,6,6,True
qwen2.5-coder:7b,qwen2.5-coder:7b_p029,-28,4,32,True
qwen2.5-coder:7b,qwen2.5-coder:7b_p030,-25,9,34,True
qwen2.5-coder:7b,qwen2.5-coder:7b_p031,-30,7,37,True
qwen2.5-coder:7b,qwen2.5-coder:7b_p032,5,7,2,True
qwen2.5-coder:7b,qwen2.5-coder:7b_p033,-29,3,32,True
qwen2.5-coder:7b,qwen2.5-coder:7b_p034,-8,3,11,True
qwen2.5-coder:7b,qwen2.5-coder:7b_p035,-8,4,12,True
qwen2.5-coder:7b,qwen2.5-coder:7b_p036,-48,5,53,True
qwen2.5-coder:7b,qwen2.5-coder:7b_p037,4,5,1,True
qwen2.5-coder:7b,qwen2.5-coder:7b_p038,-36,6,42,True
qwen2.5-coder:7b,qwen2.5-coder:7b_p039,-24,4,28,True
qwen2.5-coder:7b,qwen2.5-coder:7b_p040,-31,3,34,True
qwen2.5-coder:7b,qwen2.5-coder:7b_p041,-3,15,18,True
qwen2.5-coder:7b,qwen2.5-coder:7b_p042,2,10,8,True
qwen2.5-coder:7b,qwen2.5-coder:7b_p043,-4,5,9,True
qwen2.5-coder:7b,qwen2.5-coder:7b_p044,-37,6,43,True
qwen2.5-coder:7b,qwen2.5-coder:7b_p045,-40,3,43,True
qwen2.5-coder:7b,qwen2.5-coder:7b_p046,-34,10,44,True
qwen2.5-coder:7b,qwen2.5-coder:7b_p047,-20,9,29,True
qwen2.5-coder:7b,qwen2.5-coder:7b_p048,-13,3,16,True
qwen2.5-coder:7b,qwen2.5-coder:7b_p049,-23,7,30,True
qwen:latest,qwen:latest_p000,,,0,False
qwen:latest,qwen:latest_p001,,,0,False
qwen:latest,qwen:latest_p002,7,7,0,True
qwen:latest,qwen:latest_p003,3,3,0,True
qwen:latest,qwen:latest_p004,-17,8,25,True
qwen:latest,qwen:latest_p005,,,0,False
qwen:latest,qwen:latest_p006,,,0,False
qwen:latest,qwen:latest_p007,6,11,5,True
qwen:latest,qwen:latest_p008,-6,5,11,True
qwen:latest,qwen:latest_p009,-39,6,45,True
qwen:latest,qwen:latest_p010,2,2,0,True
qwen:latest,qwen:latest_p011,-36,5,41,True
qwen:latest,qwen:latest_p012,,,0,False
qwen:latest,qwen:latest_p013,,,0,False
qwen:latest,qwen:latest_p014,3,4,1,True
qwen:latest,qwen:latest_p015,-7,6,13,True
qwen:latest,qwen:latest_p016,-13,3,16,True
qwen:latest,qwen:latest_p017,2,2,0,True
qwen:latest,qwen:latest_p018,,,0,False
qwen:latest,qwen:latest_p019,2,2,0,True
qwen:latest,qwen:latest_p020,-25,8,33,True
qwen:latest,qwen:latest_p021,2,5,3,True
qwen:latest,qwen:latest_p022,-3,2,5,True
qwen:latest,qwen:latest_p023,-21,9,30,True
qwen:latest,qwen:latest_p024,-24,7,31,True
qwen:latest,qwen:latest_p025,-32,7,39,True
qwen:latest,qwen:latest_p026,-40,4,44,True
qwen:latest,qwen:latest_p027,-31,3,34,True
qwen:latest,qwen:latest_p028,-6,8,14,True
qwen:latest,qwen:latest_p029,-28,13,41,True
qwen:latest,qwen:latest_p030,0,5,5,True
qwen:latest,qwen:latest_p031,-29,15,44,True
qwen:latest,qwen:latest_p032,-28,7,35,True
qwen:latest,qwen:latest_p033,-24,15,39,True
qwen:latest,qwen:latest_p034,-39,5,44,True
qwen:latest,qwen:latest_p035,-19,6,25,True
qwen:latest,qwen:latest_p036,0,5,5,True
qwen:latest,qwen:latest_p037,-7,4,11,True
qwen:latest,qwen:latest_p038,4,7,3,True
qwen:latest,qwen:latest_p039,-9,5,14,True
qwen:latest,qwen:latest_p040,-9,2,11,True
qwen:latest,qwen:latest_p041,4,8,4,True
qwen:latest,qwen:latest_p042,-11,2,13,True
qwen:latest,qwen:latest_p043,4,4,0,True
qwen:latest,qwen:latest_p044,-17,4,21,True
qwen:latest,qwen:latest_p045,-30,2,32,True
qwen:latest,qwen:latest_p046,-4,8,12,True
qwen:latest,qwen:latest_p047,3,4,1,True
qwen:latest,qwen:latest_p048,6,6,0,True
qwen:latest,qwen:latest_p049,-11,3,14,True
gemma4:latest,gemma4:latest_p000,,,0,False
gemma4:latest,gemma4:latest_p001,14,17,3,True
gemma4:latest,gemma4:latest_p002,-8,3,11,True
gemma4:latest,gemma4:latest_p003,-29,13,42,True
gemma4:latest,gemma4:latest_p004,,,0,False
gemma4:latest,gemma4:latest_p005,4,4,0,True
gemma4:latest,gemma4:latest_p006,,,0,False
gemma4:latest,gemma4:latest_p007,-23,13,36,True
gemma4:latest,gemma4:latest_p008,3,4,1,True
gemma4:latest,gemma4:latest_p009,6,6,0,True
gemma4:latest,gemma4:latest_p010,-13,11,24,True
gemma4:latest,gemma4:latest_p011,7,13,6,True
gemma4:latest,gemma4:latest_p012,,,0,False
gemma4:latest,gemma4:latest_p013,-18,11,29,True
gemma4:latest,gemma4:latest_p014,8,13,5,True
gemma4:latest,gemma4:latest_p015,-6,13,19,True
gemma4:latest,gemma4:latest_p016,11,11,0,True
gemma4:latest,gemma4:latest_p017,14,17,3,True
gemma4:latest,gemma4:latest_p018,-20,17,37,True
gemma4:latest,gemma4:latest_p019,,,0,False
gemma4:latest,gemma4:latest_p020,-4,17,21,True
gemma4:latest,gemma4:latest_p021,-46,3,49,True
gemma4:latest,gemma4:latest_p022,-8,3,11,True
gemma4:latest,gemma4:latest_p023,2,14,12,True
gemma4:latest,gemma4:latest_p024,-6,16,22,True
gemma4:latest,gemma4:latest_p025,-39,3,42,True
gemma4:latest,gemma4:latest_p026,-20,9,29,True
gemma4:latest,gemma4:latest_p027,-45,3,48,True
gemma4:latest,gemma4:latest_p028,-7,3,10,True
gemma4:latest,gemma4:latest_p029,-39,3,42,True
gemma4:latest,gemma4:latest_p030,-43,3,46,True
gemma4:latest,gemma4:latest_p031,-30,3,33,True
gemma4:latest,gemma4:latest_p032,-50,3,53,True
gemma4:latest,gemma4:latest_p033,0,7,7,True
gemma4:latest,gemma4:latest_p034,-44,3,47,True
gemma4:latest,gemma4:latest_p035,-31,3,34,True
gemma4:latest,gemma4:latest_p036,13,13,0,True
gemma4:latest,gemma4:latest_p037,-13,14,27,True
gemma4:latest,gemma4:latest_p038,-21,14,35,True
gemma4:latest,gemma4:latest_p039,-29,3,32,True
gemma4:latest,gemma4:latest_p040,-15,9,24,True
gemma4:latest,gemma4:latest_p041,-28,9,37,True
gemma4:latest,gemma4:latest_p042,-34,3,37,True
gemma4:latest,gemma4:latest_p043,-29,3,32,True
gemma4:latest,gemma4:latest_p044,17,17,0,True
gemma4:latest,gemma4:latest_p045,-22,3,25,True
gemma4:latest,gemma4:latest_p046,1,9,8,True
gemma4:latest,gemma4:latest_p047,4,13,9,True
gemma4:latest,gemma4:latest_p048,-18,3,21,True
gemma4:latest,gemma4:latest_p049,-9,9,18,True
qwen3:32b,qwen3:32b_p000,,,0,False
qwen3:32b,qwen3:32b_p001,,,0,False
qwen3:32b,qwen3:32b_p002,,,0,False
qwen3:32b,qwen3:32b_p003,,,0,False
qwen3:32b,qwen3:32b_p004,,,0,False
qwen3:32b,qwen3:32b_p005,,,0,False
qwen3:32b,qwen3:32b_p006,,,0,False
qwen3:32b,qwen3:32b_p007,,,0,False
qwen3:32b,qwen3:32b_p008,,,0,False
qwen3:32b,qwen3:32b_p009,,,0,False
qwen3:32b,qwen3:32b_p010,,,0,False
qwen3:32b,qwen3:32b_p011,,,0,False
qwen3:32b,qwen3:32b_p012,,,0,False
qwen3:32b,qwen3:32b_p013,,,0,False
qwen3:32b,qwen3:32b_p014,,,0,False
qwen3:32b,qwen3:32b_p015,,,0,False
qwen3:32b,qwen3:32b_p016,,,0,False
qwen3:32b,qwen3:32b_p017,,,0,False
qwen3:32b,qwen3:32b_p018,,,0,False
qwen3:32b,qwen3:32b_p019,,,0,False
qwen3:32b,qwen3:32b_p020,,,0,False
qwen3:32b,qwen3:32b_p021,,,0,False
qwen3:32b,qwen3:32b_p022,,,0,False
qwen3:32b,qwen3:32b_p023,,,0,False
